loyalty_number,segment_name,churn_probability,risk_tier,recency_months,alltime_total_flights_sum,months_inactive,churned,action,channel,timing,goal,cost_usd,est_retention_lift,action_key,clv_proxy,est_roi
200681,Seasonal Travelers,0.11447225323390182,Low Risk,2.0,46,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,9951.71,198.03
200708,Seasonal Travelers,0.03970122347139592,Low Risk,0.0,41,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,14862.76,296.26
200744,Frequent Redeemers,0.010008466669656711,Low Risk,0.0,32,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2521.68,49.43
200764,High Value Loyalists,0.0004932199378941553,Low Risk,0.0,5,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,7857.36,156.15
200802,Dormant Members,0.00269326295787519,Low Risk,0.0,27,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,8561.56,170.23
200863,Frequent Redeemers,0.0013590865233413668,Low Risk,0.0,41,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,8432.52,167.65
200877,Seasonal Travelers,0.05266152646071754,Low Risk,0.0,46,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2826.31,55.53
200960,Seasonal Travelers,0.05816833320009513,Low Risk,0.0,46,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5470.18,108.4
200991,Frequent Redeemers,1.4995659723768617e-05,Low Risk,0.0,41,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2464.71,48.29
201055,High Value Loyalists,0.9999756446448077,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,2628.66,738.6
201115,Seasonal Travelers,0.8524118641937853,High Risk,0.0,56,0,0,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,6941.87,2032.56
201220,Seasonal Travelers,0.0007467053189343691,Low Risk,0.0,49,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4892.62,96.85
201256,Dormant Members,0.00438038784300614,Low Risk,0.0,23,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5635.4,111.71
201273,Seasonal Travelers,0.7835133518492939,High Risk,0.0,49,0,0,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,12516.92,3705.08
201276,Dormant Members,0.11458419696559798,Low Risk,1.0,25,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,3560.63,70.21
201292,Seasonal Travelers,0.07238268226507169,Low Risk,2.0,46,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5387.41,106.75
201339,Seasonal Travelers,0.005301188986337954,Low Risk,0.0,42,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5332.46,105.65
201343,Dormant Members,0.006492639475557247,Low Risk,2.0,26,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,14019.83,279.4
201355,Seasonal Travelers,0.002561599220557948,Low Risk,1.0,39,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2410.11,47.2
201365,Frequent Redeemers,0.0012305208078479154,Low Risk,1.0,34,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,9124.6,181.49
201436,At Risk Premium,0.996332581367382,High Risk,20.0,3,20,1,Win-Back: 50% Bonus Miles on Next 2 Flights,Email + SMS,After 3 months inactivity,Re-activate dormant customers before permanent churn,30,0.25,winback_discount,18929.33,4702.33
201475,Dormant Members,0.4951145687113616,Medium Risk,2.0,26,2,1,Win-Back: 50% Bonus Miles on Next 2 Flights,Email + SMS,After 3 months inactivity,Re-activate dormant customers before permanent churn,30,0.25,winback_discount,9705.31,2396.33
201550,High Value Loyalists,0.9999107144979463,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,2517.53,705.26
201561,High Value Loyalists,0.0011805822398576486,Low Risk,0.0,13,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,8632.78,171.66
201564,Frequent Redeemers,0.14448738954090584,Low Risk,1.0,34,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4744.97,93.9
201574,High Value Loyalists,0.9999373403006405,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,3893.31,1117.99
201683,Frequent Redeemers,0.001857337503898275,Low Risk,1.0,42,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,6837.93,135.76
201709,Seasonal Travelers,0.0012513749920729442,Low Risk,1.0,42,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,7591.11,150.82
201816,Seasonal Travelers,0.056023136124403614,Low Risk,1.0,47,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2833.98,55.68
201891,Frequent Redeemers,0.8481474025309375,High Risk,8.0,39,8,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,7623.58,2237.07
201898,At Risk Premium,0.9778729824392918,High Risk,9.0,11,9,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,9591.03,2827.31
202035,High Value Loyalists,0.00891487211027083,Low Risk,0.0,3,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4685.5,92.71
202052,Dormant Members,0.5613389799804167,Medium Risk,5.0,28,5,0,Expiring Points Reminder + Bonus Redemption Offer,Email,60 days before expiry,Drive redemption activity and re-engagement,5,0.12,expiring_points,5039.87,599.78
202055,Frequent Redeemers,0.00211519015419948,Low Risk,0.0,37,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,17497.52,348.95
202108,High Value Loyalists,0.9999377782141425,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,2409.0,672.7
202156,Frequent Redeemers,0.00580726827535458,Low Risk,1.0,32,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2444.62,47.89
202182,Seasonal Travelers,0.0018211142870308518,Low Risk,1.0,47,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,11228.29,223.57
202218,Dormant Members,0.014947866981670976,Low Risk,0.0,13,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2506.36,49.13
202227,High Value Loyalists,0.9999175408384253,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,4918.92,1425.68
202248,Seasonal Travelers,0.09324525012746544,Low Risk,2.0,50,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,10864.27,216.29
202271,High Value Loyalists,0.9999322739359977,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,7679.68,2253.9
202293,Seasonal Travelers,0.054234147858597245,Low Risk,1.0,53,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5633.53,111.67
202299,Frequent Redeemers,0.0012787453922322712,Low Risk,0.0,34,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4373.36,86.47
202329,Frequent Redeemers,0.05913417794117308,Low Risk,0.0,26,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,9521.22,189.42
202358,Frequent Redeemers,0.1018091604812307,Low Risk,1.0,33,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,3543.23,69.86
202585,Dormant Members,0.004229976695351958,Low Risk,0.0,25,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5088.69,100.77
202696,Seasonal Travelers,0.013152434432594074,Low Risk,0.0,45,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4428.04,87.56
202716,Frequent Redeemers,0.09930083664109146,Low Risk,2.0,29,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2337.36,45.75
202761,High Value Loyalists,0.9998708013374275,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,4654.95,1346.48
202784,Frequent Redeemers,0.004572093663221162,Low Risk,0.0,40,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,3059.43,60.19
202807,Seasonal Travelers,0.004510026717221805,Low Risk,0.0,46,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5301.84,105.04
202831,Seasonal Travelers,0.011617282718316142,Low Risk,1.0,48,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4334.21,85.68
202859,Dormant Members,0.03373647437815586,Low Risk,2.0,27,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5595.39,110.91
202864,Frequent Redeemers,0.0006672573804084663,Low Risk,0.0,40,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5470.06,108.4
203033,Seasonal Travelers,0.03938989981924443,Low Risk,1.0,51,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,8717.05,173.34
203084,Frequent Redeemers,0.003397257983157063,Low Risk,1.0,37,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2464.71,48.29
203133,Frequent Redeemers,0.7675335045256008,High Risk,6.0,38,6,1,Expiring Points Reminder + Bonus Redemption Offer,Email,60 days before expiry,Drive redemption activity and re-engagement,5,0.12,expiring_points,2600.27,307.03
203143,At Risk Premium,0.9885726335978665,High Risk,15.0,13,15,1,Win-Back: 50% Bonus Miles on Next 2 Flights,Email + SMS,After 3 months inactivity,Re-activate dormant customers before permanent churn,30,0.25,winback_discount,5323.27,1300.82
203184,Dormant Members,0.00028849232572502063,Low Risk,0.0,29,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4633.55,91.67
203245,High Value Loyalists,0.9999796646479167,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,13406.92,3972.08
203258,High Value Loyalists,0.9999269817113935,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,5061.76,1468.53
203293,Frequent Redeemers,0.020447595672349148,Low Risk,1.0,33,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,3209.66,63.19
203306,Frequent Redeemers,0.8598286656182191,High Risk,2.0,34,2,0,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,5321.11,1546.33
203409,Dormant Members,0.002994546420645316,Low Risk,0.0,25,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5800.17,115.0
203517,High Value Loyalists,0.9999458106154449,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,5112.57,1483.77
203550,Frequent Redeemers,0.0017313781175446775,Low Risk,0.0,30,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4426.1,87.52
203577,Frequent Redeemers,0.011413972289883178,Low Risk,1.0,32,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2227.07,43.54
203607,Dormant Members,0.003916633211012814,Low Risk,0.0,23,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2910.32,57.21
203625,Dormant Members,0.14784254553961365,Low Risk,0.0,29,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,13752.47,274.05
203696,Seasonal Travelers,0.2391063812301466,Low Risk,0.0,49,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,6259.51,124.19
203698,Frequent Redeemers,0.00047878322181909265,Low Risk,0.0,41,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,8110.33,161.21
203745,Frequent Redeemers,0.21600123716352615,Low Risk,2.0,40,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2750.88,54.02
203772,Seasonal Travelers,0.00035392869363073796,Low Risk,0.0,47,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,25807.06,515.14
203773,High Value Loyalists,0.00023363727982008553,Low Risk,0.0,12,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2695.96,52.92
203809,High Value Loyalists,0.9998058633327178,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,4165.35,1199.6
203815,Dormant Members,0.9966478974996015,High Risk,6.0,11,6,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,8650.0,2545.0
203864,Frequent Redeemers,0.0026696720700594397,Low Risk,1.0,31,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5266.42,104.33
203947,At Risk Premium,0.9974269906793899,High Risk,17.0,10,17,1,Win-Back: 50% Bonus Miles on Next 2 Flights,Email + SMS,After 3 months inactivity,Re-activate dormant customers before permanent churn,30,0.25,winback_discount,4772.94,1163.23
203950,Dormant Members,0.03898558205292786,Low Risk,0.0,18,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,3497.48,68.95
203973,Dormant Members,0.00032941743844159296,Low Risk,0.0,24,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2771.05,54.42
204000,Frequent Redeemers,0.00031710416977867307,Low Risk,0.0,31,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,13334.27,265.69
204042,Frequent Redeemers,0.0008796297987458648,Low Risk,0.0,36,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5067.64,100.35
204111,At Risk Premium,0.9967889728277547,High Risk,14.0,3,14,1,Win-Back: 50% Bonus Miles on Next 2 Flights,Email + SMS,After 3 months inactivity,Re-activate dormant customers before permanent churn,30,0.25,winback_discount,2188.66,517.16
204220,Seasonal Travelers,0.011960464791421703,Low Risk,1.0,46,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,15063.5,300.27
204237,At Risk Premium,0.9850022319465928,High Risk,9.0,13,9,1,Expiring Points Reminder + Bonus Redemption Offer,Email,60 days before expiry,Drive redemption activity and re-engagement,5,0.12,expiring_points,4595.04,546.4
204311,High Value Loyalists,0.00017578832563189847,Low Risk,0.0,5,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5551.59,110.03
204343,Frequent Redeemers,0.005253408438766891,Low Risk,0.0,38,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2478.83,48.58
204375,Dormant Members,0.0003309867381053913,Low Risk,0.0,17,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,6727.62,133.55
204424,Frequent Redeemers,6.476063418314439e-05,Low Risk,0.0,32,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,21283.64,424.67
204484,Frequent Redeemers,0.0008221578835467218,Low Risk,1.0,41,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,11243.9,223.88
204507,High Value Loyalists,0.999961050825879,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,5437.44,1581.23
204535,High Value Loyalists,0.9999233539227609,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,8543.33,2513.0
204686,Frequent Redeemers,0.003399461936492751,Low Risk,0.0,32,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,8044.87,159.9
204693,Frequent Redeemers,0.013097175935503974,Low Risk,0.0,29,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4355.7,86.11
204763,Frequent Redeemers,0.0006308418512555896,Low Risk,0.0,34,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5112.1,101.24
204840,High Value Loyalists,0.9999302028006878,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,16681.33,4954.4
204848,High Value Loyalists,0.9998675987018537,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,2682.91,754.87
204926,At Risk Premium,0.9975018791502831,High Risk,14.0,7,14,1,Win-Back: 50% Bonus Miles on Next 2 Flights,Email + SMS,After 3 months inactivity,Re-activate dormant customers before permanent churn,30,0.25,winback_discount,5893.37,1443.34
204935,Seasonal Travelers,0.05007628440785855,Low Risk,2.0,42,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,8031.71,159.63
204994,Seasonal Travelers,0.00011420800621353967,Low Risk,0.0,47,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,6382.58,126.65
205087,Frequent Redeemers,0.010579111110094401,Low Risk,0.0,33,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,3187.35,62.75
205111,Dormant Members,0.14052044851324247,Low Risk,3.0,30,3,1,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,8092.88,160.86
205156,Seasonal Travelers,0.00013299898594899294,Low Risk,0.0,47,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,11084.61,220.69
205170,Frequent Redeemers,0.002269995962443609,Low Risk,0.0,35,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5113.87,101.28
205195,High Value Loyalists,0.9998287108646556,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,6770.31,1981.09
205197,Frequent Redeemers,0.1995391999118446,Low Risk,1.0,39,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,8130.65,161.61
205256,Frequent Redeemers,0.09260459947097661,Low Risk,0.0,37,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5123.2,101.46
205367,Dormant Members,0.0011316609003464543,Low Risk,0.0,28,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4598.24,90.96
205371,Frequent Redeemers,0.00038896203689929804,Low Risk,0.0,39,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5539.35,109.79
205413,Frequent Redeemers,0.30181710338920714,Low Risk,0.0,36,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,8193.75,162.88
205430,Frequent Redeemers,0.4261977149079158,Medium Risk,3.0,40,3,1,Expiring Points Reminder + Bonus Redemption Offer,Email,60 days before expiry,Drive redemption activity and re-engagement,5,0.12,expiring_points,2599.31,306.92
205445,Frequent Redeemers,0.07682514997847387,Low Risk,0.0,37,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4905.32,97.11
205465,High Value Loyalists,9.447686486076124e-06,Low Risk,0.0,13,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5217.51,103.35
205505,Seasonal Travelers,0.0028953582763174657,Low Risk,1.0,44,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,3618.43,71.37
205658,Frequent Redeemers,0.0019699083701463153,Low Risk,1.0,32,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,9559.34,190.19
205671,Seasonal Travelers,0.0016280522299563897,Low Risk,0.0,46,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,13770.98,274.42
205697,Frequent Redeemers,0.0015162614607291474,Low Risk,0.0,36,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,22658.54,452.17
205698,Seasonal Travelers,0.001115055919045493,Low Risk,0.0,42,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5087.02,100.74
205785,Frequent Redeemers,0.02337546065357949,Low Risk,0.0,35,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,3873.65,76.47
205826,High Value Loyalists,0.21393881002288276,Low Risk,0.0,5,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,22754.66,454.09
206050,At Risk Premium,0.9989106698707902,High Risk,21.0,10,21,1,Win-Back: 50% Bonus Miles on Next 2 Flights,Email + SMS,After 3 months inactivity,Re-activate dormant customers before permanent churn,30,0.25,winback_discount,27495.42,6843.86
206108,Frequent Redeemers,0.08230346761933859,Low Risk,3.0,39,3,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,9129.87,181.6
206119,Frequent Redeemers,0.004264436650586282,Low Risk,0.0,31,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4224.83,83.5
206207,Seasonal Travelers,0.0033089517724648938,Low Risk,0.0,47,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,10307.65,205.15
206284,Frequent Redeemers,0.9645557470107982,High Risk,4.0,36,4,0,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,6784.89,1985.47
206328,Frequent Redeemers,0.055113301625092904,Low Risk,2.0,32,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4974.8,98.5
206332,High Value Loyalists,0.9999280818133226,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,6189.12,1806.74
206366,Seasonal Travelers,0.02799455007634448,Low Risk,2.0,49,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,6317.37,125.35
206466,Dormant Members,0.7124317703759114,High Risk,1.0,18,1,0,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,8564.77,2519.43
206576,High Value Loyalists,0.9998971719944093,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,4904.89,1421.47
206591,Seasonal Travelers,0.016035891658008224,Low Risk,0.0,50,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4260.77,84.22
206680,Frequent Redeemers,0.0001158624336918285,Low Risk,0.0,38,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,6265.34,124.31
206772,Frequent Redeemers,0.4642479478313407,Medium Risk,4.0,35,4,0,Expiring Points Reminder + Bonus Redemption Offer,Email,60 days before expiry,Drive redemption activity and re-engagement,5,0.12,expiring_points,2523.17,297.78
206773,Seasonal Travelers,0.05303776882839625,Low Risk,2.0,45,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,3677.78,72.56
206871,Seasonal Travelers,0.6711016522392241,Medium Risk,4.0,56,4,0,Expiring Points Reminder + Bonus Redemption Offer,Email,60 days before expiry,Drive redemption activity and re-engagement,5,0.12,expiring_points,3962.83,470.54
206890,Frequent Redeemers,0.15276195082743022,Low Risk,0.0,36,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,6981.08,138.62
206914,Seasonal Travelers,0.11368219261251249,Low Risk,0.0,44,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2483.64,48.67
206925,Frequent Redeemers,0.00011918340121750288,Low Risk,0.0,42,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,28432.0,567.64
206947,Dormant Members,0.008019375131210382,Low Risk,0.0,25,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,3871.07,76.42
206992,Frequent Redeemers,0.0005340187624473642,Low Risk,0.0,39,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5107.16,101.14
207001,Seasonal Travelers,0.045870677443686295,Low Risk,0.0,49,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,13372.02,266.44
